species,AccSpeciesID
Carex paniculata,10604
Carex pauciflora,10608
Carex peckii,77880
Carex pedunculata,10611
Carex pellita,66404
Carex pendula,10613
Carex pensylvanica,10614
Carex plantaginea,10622
Carex platyphylla,77885
Carex praegracilis,10627
Carex prairea,77889
Carex praticola,77890
Carex preslii,77891
Carex projecta,10628
Carex pseudocyperus,10632
Carex radiata,66407
Carex retrorsa,10643
Carex rosea,66408
Carex rossii,10646
Carex rostrata,10647
Carex sartwelliana,211840
Carex sartwellii,10653
Carex saxatilis,10654
Carex scabrata,10655
Carex scirpoidea,64331
Carex scoparia,64332
Carex siccata,10664
Carex sparganioides,10667
Carex spectabilis,10668
Carex spicata,10669
Carex sprengelii,66410
Carex stipata,10675
Carex stricta,10677
Carex subbracteata,77924
Carex sylvatica,10682
Carex tenera,10685
Carex tonsa,10688
Carex torreyi,77934
Carex torta,64338
Carex tribuloides,64339
Carex trichocarpa,64340
Carex trisperma,10690
Carex tuckermanii,10692
Carex umbellata,10696
Carex utriculata,10700
Carex vesicaria,10702
Carex vulpinoidea,10705
Carpinus betulus,10773
Carpinus caroliniana,10774
Carrierea calycina,10804
Carum carvi,10820
Carya aquatica,10827
Carya cordiformis,10829
Carya laciniosa,10834
Carya ovata,10839
Cassiope mertensiana,11035
Cassiope tetragona,11037
Castanea dentata,11063
Castanea sativa,11068
Castanopsis javanica,11095
Castilleja coccinea,11139
Castilleja hispida,11143
Castilleja miniata,11148
Castilleja parviflora,212258
Castilleja rhexifolia,11152
Catalpa speciosa,11189
Catharanthus roseus,11199
Caulophyllum giganteum,212464
Caulophyllum thalictroides,11246
Ceanothus americanus,11287
Ceanothus impressus,11306
Ceanothus thyrsiflorus,11329
Cedrus atlantica,11381
Cedrus deodara,11383
Cedrus libani,11384
Celastrus orbiculatus,11403
Celastrus scandens,11407
Celtis occidentalis,11497
Cenchrus longispinus,11535
Centaurea debeauxii,11569
Centaurea decipiens,78282
Centaurea jacea,11583
Centaurea macrocephala,11589
Centaurea montana,11593
Centaurea nigra,11598
Centaurea stoebe,11626
Centaurium erythraea,11635
Centaurium pulchellum,11640
Centella asiatica,11648
Centranthus ruber,11669
Cephalanthus occidentalis,11719
Cephalotaxus harringtonia,11765
Cephalozia bicuspidata,295843
Cephaloziella divaricata,295867
Cerastium arvense,11771
Cerastium fontanum,11781
Cerastium glomeratum,11783
Cerastium nutans,212893
Cerastium semidecandrum,11800
Cerastium tomentosum,11806
Ceratodon purpureus,296009
Ceratophyllum demersum,11831
Cercidiphyllum japonicum,11849
Cercis canadensis,11853
Cerinthe major,11877
Chaenorhinum minus,11928
Chamaecyparis lawsoniana,11983
Chamaecyparis obtusa,11985
Chamaecyparis pisifera,11986
Chamaedaphne calyculata,12027
Chara aspera,213440
Chasmanthium latifolium,12100
Chelidonium majus,12151
Chelone glabra,12153
Chelone lyonii,78642
Chelone obliqua,78643
Chenopodiastrum hybridum,297000
Chenopodiastrum simplex,297002
Chenopodium album,12159
Chenopodium berlandieri,12169
Chenopodium desiccatum,12182
Chenopodium giganteum,12189
Chenopodium strictum,12238
Chiloscyphus pallescens,297106
Chiloscyphus polyanthos,297108
Chimaphila menziesii,12264
Chimaphila umbellata,12265
Choisya ternata,66607
Chrysolepis chrysophylla,12643
Chrysosplenium americanum,12745
Cicer arietinum,12906
Cichorium intybus,12917
Cicuta bulbifera,12921
Cicuta douglasii,12922
Cicuta maculata,12923
Cinclidium stygium,298024
Cinna arundinacea,12937
Cinna latifolia,12939
Circaea alpina,13005
Cirsium arvense,13016
Cirsium brevistylum,13019
Cirsium discolor,13026
Cirsium edule,214344
Cirsium flodmanii,13035
Cirsium muticum,13046
Cirsium vulgare,13072
Citrullus lanatus,13193
Claopodium bolanderi,298665
Claopodium crispifolium,298666
Claopodium whippleanum,298668
Clarkia unguiculata,13278
Claytonia caroliniana,79004
Claytonia sibirica,13312
Claytonia virginica,13313
Clematis cirrhosa,13372
Clematis dioica,13373
Clematis occidentalis,66705
Clematis tangutica,13406
Clematis terniflora,13407
Clematis virginiana,13411
Clematis vitalba,13413
Clematis viticella,13414
Clerodendrum trichotomum,13495
Climacium dendroides,299501
Clinopodium serpyllifolium,79113
Clintonia borealis,13564
Clintonia uniflora,13566
Cochlearia groenlandica,79180
Codriophorus aciculare,300286
Codriophorus varius,300289
Coelogyne cristata,79213
Colchicum autumnale,13878
Collomia linearis,13912
Cololejeunea macounii,300760
Comandra umbellata,13993
Comarum palustre,64975
Commelina communis,14080
Comptonia peregrina,14154
Conioselinum chinense,14182
Conium maculatum,14183
Conocephalum conicum,301407
Conocephalum salebrosum,301408
Conoclinium coelestinum,64366
Conostomum tetragonum,301441
Conringia orientalis,14232
Convallaria majalis,14240
Convolvulus arvensis,14244
Coptis trifolia,66868
Corallorhiza maculata,14366
Corallorhiza mertensiana,216144
Corallorhiza striata,66872
Corallorhiza trifida,14367
Corema conradii,79538
Coreopsis lanceolata,14505
Coreopsis tinctoria,14511
Corispermum americanum,216542
Corispermum hookeri,216544
Corispermum villosum,14545
Cornus alba,14553
Cornus alternifolia,14555
Cornus amomum,14556
Cornus canadensis,14563
Cornus florida,14574
Cornus foemina,14575
Cornus mas,14580
Cornus nuttallii,14584
Cornus racemosa,14593
Cornus rugosa,14594
Cornus sanguinea,14595
Cornus sericea,14597
Cornus unalaschkensis,79585
Cornus walteri,14605
Corrigiola litoralis,14638
Cortaderia selloana,14656
Corydalis aurea,66905
Corydalis scouleri,216605
Corydalis solida,14680
Corylopsis sinensis,14684
Corylus avellana,14688
Corylus cornuta,14692
Cosmos bipinnatus,14768
Cota tinctoria,216684
Cotinus coggygria,14789
Cotoneaster bullatus,14798
Cotoneaster crispii,302483
Cotoneaster franchetii,14806
Cotoneaster horizontalis,14809
Cotoneaster lacteus,14812
Cotoneaster lucidus,216695
Cotoneaster rehderi,79767
Cotoneaster salicifolius,14828
Cotoneaster sternianus,216703
Cotula coronopifolia,14843
Crataegus canadensis,302972
Crataegus chrysocarpa,15064
Crataegus coccinioides,79884
Crataegus corusca,302987
Crataegus crus-galli,15068
Crataegus douglasii,15072
Crataegus flabellata,79886
Crataegus holmesiana,303037
Crataegus intricata,15076
Crataegus irrasa,303054
Crataegus laevigata,15080
Crataegus macrosperma,303083
