"quadrat","scientificName","count"
1,"Asplenium angustifolium Michx.",1
1,"Asplenium rhizophyllum L.",1
1,"Asplenium scolopendrium L.",9
1,"Asplenium trichomanes L.",25
1,"Asplenium viride Huds.",6
1,"Aster acuminatus Michx.",1
1,"Aster amethystinus Nutt.",2
1,"Aster brachyactis S.F.Blake",25
1,"Aster chlorolepis Burgess",1
1,"Aster ciliolatus Lindl.",12
1,"Aster commutatus (Torr. & A.Gray) A.Gray",6
1,"Aster conspicuus Lindl.",30
1,"Aster cordifolius L.",22
1,"Aster ericoides L.",6
1,"Aster ericoides Lam.",4
1,"Aster falcatus Lindl.",12
1,"Aster falcatus subsp. commutatus (Torr. & A.Gray) A.G.Jones",42
1,"Aster falcatus subsp. falcatus",42
1,"Aster L.",53
1,"Aster laevis × Aster lanceolatus",1
1,"Aster laevis L.",19
1,"Aster lanceolatus subsp. lanceolatus",4
1,"Aster lanceolatus var. lanceolatus",1
1,"Aster lanceolatus Willd.",6
1,"Aster lateriflorus (L.) Britt.",1
1,"Aster lateriflorus var. angustifolius Wiegand",1
1,"Aster longifolius Lam.",1
1,"Aster macounii Rydb.",8
1,"Aster macrophyllus L.",3
1,"Aster modestus Lindl.",54
1,"Aster novae-angliae L.",25
1,"Aster ontarionis Wieg.",6
1,"Aster pilosus var. pringlei A.Gray",6
1,"Aster radula Dryand. ex Ait.",1
1,"Aster sibiricus L.",6
1,"Aster simplex Willd.",9
1,"Aster subspicatus Nees",24
1,"Aster tradescantii L.",2
1,"Aster umbellatus Mill.",38
1,"Aster umbellatus var. pubens Gray",36
1,"Aster undulatus L.",1
1,"Aster urophyllus Lindl.",1
1,"Asterales",1
1,"Astragalus adsurgens Pall.",1
1,"Astragalus canadensis L.",4
1,"Astragalus cicer L.",6
1,"Astragalus dasyglottis Fisch. ex DC.",12
1,"Astragalus flexuosus Dougl. ex G.Don",6
1,"Astragalus flexuosus var. flexuosus",6
1,"Astragalus goniatus Nutt.",1
1,"Astragalus mongholicus Bunge",6
1,"Astragalus striatus Nutt.",1
1,"Athyrium filix-femina (L.) Roth",86
1,"Athyrium filix-femina (L.) Roth ex Mert.",6
1,"Athyrium filix-femina subsp. angustum (Willd.) Hultén",1
1,"Athyrium filix-femina subsp. cyclosorum (Rupr.) C.Chr.",24
1,"Athyrium filix-femina var. cyclosorum Rupr.",40
1,"Athyrium filix-femina var. michauxii (Spreng.) Farw.",1
1,"Athyrium otophorum (Miq.) Koidz.",16
1,"Athyrium pycnocarpon (Spreng.) Tidestr.",1
1,"Atocion armeria Fourr.",1
1,"Atragene americana Sims",15
1,"Atrichum angustatum Bruch & W.P.Schimper, 1844",2
1,"Atrichum crispum Sullivant & Lesquereux, 1856",8
1,"Atrichum selwynii Austin, 1877",64
1,"Atrichum undulatum Palisot de Beauvois, 1805",80
1,"Atriplex hastata L.",1
1,"Atriplex hortensis L.",65
1,"Atriplex longipes Drejer & Fries",8
1,"Atriplex micrantha C.A.Meyer",8
1,"Atriplex nudicaulis Boguslaw",8
1,"Atriplex patula L.",14
1,"Atriplex patula var. hastata (L.) Gray",4
1,"Atriplex prostrata Boucher ex DC.",8
1,"Atriplex rosea L.",2
1,"Atriplex subspicata (Nutt.) Rydb.",1
1,"Atriplex, 1758",2
1,"Atropa belladonna L.",14
1,"Aucuba japonica Thunb.",8
1,"Audouinella Bory de Saint-Vincent, 1823",8
1,"Audouinella daviesii (Dillwyn) Woelkerling",8
1,"Audouinella endophytica (Batters) P.S.Dixon",8
1,"Aulacomnium acuminatum Kindberg, 1891",6
1,"Aulacomnium androgynum Schwaegrichen, 1827",16
1,"Aulacomnium palustre Schwaegrichen, 1827",13
1,"Aulacomnium turgidum Schwaegrichen, 1827",6
1,"Avena barbata Link",8
